Model,rmse_log,rmse,r2_log
Ridge,0.12744821477200793,22756.614139531073,0.9129577118079389
XGBoost,0.1297362096555175,25111.535309436516,0.9098044320806427
RandomForest,0.14497867663647343,29936.507528441743,0.8873656002886714
