Model,rmse_log,rmse,r2_log
RandomForest,0.5965367250430132,3083.4285422914418,0.5958258874233135
XGBoost,0.5935021199925069,3084.824766866303,0.5999275264454962
Ridge,0.6694957604787017,3705.2836187991297,0.49091560518498156
